sex,group_age,race,charlson,visits,in_group,svi_group,vax_status,year,PCR_results,count
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,0.5+,1 Dose mRNA,2022,Negative,88
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,0.5+,1 Dose mRNA,2022,Positive,17
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,0.5+,Booster Dose,2021,Negative,140
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,0.5+,Booster Dose,2021,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,0.5+,Booster Dose,2022,Negative,86
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,0.5+,Booster Dose,2022,Positive,9
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,0.5+,Full Primary Series,2021,Negative,1223
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,0.5+,Full Primary Series,2021,Positive,48
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,0.5+,Full Primary Series,2022,Negative,425
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,0.5+,Full Primary Series,2022,Positive,65
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,0.5+,Unvaccinated,2021,Negative,2655
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,0.5+,Unvaccinated,2021,Positive,67
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,0.5+,Unvaccinated,2022,Negative,629
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,0.5+,Unvaccinated,2022,Positive,154
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,<0.5,1 Dose mRNA,2021,Negative,17
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,<0.5,1 Dose mRNA,2022,Negative,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,<0.5,Booster Dose,2021,Negative,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,<0.5,Booster Dose,2021,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,<0.5,Booster Dose,2022,Negative,6
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,<0.5,Full Primary Series,2021,Negative,53
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,<0.5,Full Primary Series,2021,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,<0.5,Full Primary Series,2022,Negative,13
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,<0.5,Full Primary Series,2022,Positive,10
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,<0.5,Unvaccinated,2021,Negative,329
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,<0.5,Unvaccinated,2021,Positive,6
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,<0.5,Unvaccinated,2022,Negative,76
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,<0.5,Unvaccinated,2022,Positive,21
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,0.5+,1 Dose mRNA,2021,Negative,23
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,0.5+,1 Dose mRNA,2021,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,0.5+,1 Dose mRNA,2022,Negative,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,0.5+,Booster Dose,2021,Negative,6
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,0.5+,Booster Dose,2022,Negative,7
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,0.5+,Full Primary Series,2021,Negative,37
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,0.5+,Full Primary Series,2021,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,0.5+,Full Primary Series,2022,Negative,24
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,0.5+,Full Primary Series,2022,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,0.5+,Unvaccinated,2021,Negative,276
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,0.5+,Unvaccinated,2021,Positive,12
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,0.5+,Unvaccinated,2022,Negative,74
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Uninsured,0.5+,Unvaccinated,2022,Positive,20
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,<0.5,1 Dose mRNA,2021,Negative,156
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,<0.5,1 Dose mRNA,2021,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,<0.5,1 Dose mRNA,2022,Negative,35
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,<0.5,1 Dose mRNA,2022,Positive,9
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,<0.5,Booster Dose,2021,Negative,137
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,<0.5,Booster Dose,2021,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,<0.5,Booster Dose,2022,Negative,70
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,<0.5,Booster Dose,2022,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,<0.5,Full Primary Series,2021,Negative,811
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,<0.5,Full Primary Series,2021,Positive,24
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,<0.5,Full Primary Series,2022,Negative,262
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,<0.5,Full Primary Series,2022,Positive,65
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,<0.5,Unvaccinated,2021,Negative,1055
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,<0.5,Unvaccinated,2021,Positive,20
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,<0.5,Unvaccinated,2022,Negative,247
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,<0.5,Unvaccinated,2022,Positive,64
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,0.5+,1 Dose mRNA,2021,Negative,285
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,0.5+,1 Dose mRNA,2021,Positive,8
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,0.5+,1 Dose mRNA,2022,Negative,88
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,0.5+,1 Dose mRNA,2022,Positive,17
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,0.5+,Booster Dose,2021,Negative,284
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,0.5+,Booster Dose,2021,Positive,8
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,0.5+,Booster Dose,2022,Negative,188
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,0.5+,Booster Dose,2022,Positive,24
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,0.5+,Full Primary Series,2021,Negative,1563
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,0.5+,Full Primary Series,2021,Positive,51
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,0.5+,Full Primary Series,2022,Negative,592
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,0.5+,Full Primary Series,2022,Positive,120
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,0.5+,Unvaccinated,2021,Negative,1538
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,0.5+,Unvaccinated,2021,Positive,53
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,0.5+,Unvaccinated,2022,Negative,393
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Insured,0.5+,Unvaccinated,2022,Positive,108
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Uninsured,<0.5,1 Dose mRNA,2021,Negative,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Uninsured,<0.5,1 Dose mRNA,2022,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Uninsured,<0.5,Booster Dose,2022,Negative,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Uninsured,<0.5,Full Primary Series,2021,Negative,14
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Uninsured,<0.5,Full Primary Series,2022,Negative,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Uninsured,<0.5,Full Primary Series,2022,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Uninsured,<0.5,Unvaccinated,2021,Negative,29
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Uninsured,<0.5,Unvaccinated,2021,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Uninsured,<0.5,Unvaccinated,2022,Negative,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Uninsured,<0.5,Unvaccinated,2022,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Uninsured,0.5+,1 Dose mRNA,2021,Negative,7
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Uninsured,0.5+,1 Dose mRNA,2021,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Uninsured,0.5+,1 Dose mRNA,2022,Negative,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Uninsured,0.5+,Booster Dose,2021,Negative,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Uninsured,0.5+,Booster Dose,2021,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Uninsured,0.5+,Booster Dose,2022,Negative,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Uninsured,0.5+,Full Primary Series,2021,Negative,31
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Uninsured,0.5+,Full Primary Series,2021,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Uninsured,0.5+,Full Primary Series,2022,Negative,6
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Uninsured,0.5+,Full Primary Series,2022,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Uninsured,0.5+,Unvaccinated,2021,Negative,39
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Uninsured,0.5+,Unvaccinated,2021,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Uninsured,0.5+,Unvaccinated,2022,Negative,10
FEMALE,<40 years,Non-Hispanic White,Score: 0,1+ visits,Uninsured,0.5+,Unvaccinated,2022,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Insured,<0.5,1 Dose mRNA,2021,Negative,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Insured,<0.5,1 Dose mRNA,2021,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Insured,<0.5,1 Dose mRNA,2022,Negative,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Insured,<0.5,Booster Dose,2021,Negative,9
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Insured,<0.5,Booster Dose,2022,Negative,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Insured,<0.5,Full Primary Series,2021,Negative,46
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Insured,<0.5,Full Primary Series,2022,Negative,8
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Insured,<0.5,Full Primary Series,2022,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Insured,<0.5,Unvaccinated,2021,Negative,62
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Insured,<0.5,Unvaccinated,2022,Negative,30
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Insured,<0.5,Unvaccinated,2022,Positive,6
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Insured,0.5+,1 Dose mRNA,2021,Negative,6
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Insured,0.5+,1 Dose mRNA,2022,Negative,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Insured,0.5+,1 Dose mRNA,2022,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Insured,0.5+,Booster Dose,2021,Negative,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Insured,0.5+,Booster Dose,2022,Negative,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Insured,0.5+,Booster Dose,2022,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Insured,0.5+,Full Primary Series,2021,Negative,49
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Insured,0.5+,Full Primary Series,2022,Negative,18
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Insured,0.5+,Full Primary Series,2022,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Insured,0.5+,Unvaccinated,2021,Negative,62
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Insured,0.5+,Unvaccinated,2021,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Insured,0.5+,Unvaccinated,2022,Negative,23
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Insured,0.5+,Unvaccinated,2022,Positive,6
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Uninsured,<0.5,Full Primary Series,2022,Negative,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,0 visits,Uninsured,<0.5,Unvaccinated,2021,Negative,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,<0.5,1 Dose mRNA,2021,Negative,33
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,<0.5,1 Dose mRNA,2021,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,<0.5,1 Dose mRNA,2022,Negative,9
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,<0.5,1 Dose mRNA,2022,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,<0.5,Booster Dose,2021,Negative,35
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,<0.5,Booster Dose,2022,Negative,25
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,<0.5,Booster Dose,2022,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,<0.5,Full Primary Series,2021,Negative,229
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,<0.5,Full Primary Series,2021,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,<0.5,Full Primary Series,2022,Negative,59
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,<0.5,Full Primary Series,2022,Positive,9
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,<0.5,Unvaccinated,2021,Negative,195
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,<0.5,Unvaccinated,2021,Positive,6
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,<0.5,Unvaccinated,2022,Negative,46
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,<0.5,Unvaccinated,2022,Positive,16
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,0.5+,1 Dose mRNA,2021,Negative,54
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,0.5+,1 Dose mRNA,2021,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,0.5+,1 Dose mRNA,2022,Negative,19
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,0.5+,1 Dose mRNA,2022,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,0.5+,Booster Dose,2021,Negative,88
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,0.5+,Booster Dose,2022,Negative,55
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,0.5+,Booster Dose,2022,Positive,6
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,0.5+,Full Primary Series,2021,Negative,397
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,0.5+,Full Primary Series,2021,Positive,9
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,0.5+,Full Primary Series,2022,Negative,141
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,0.5+,Full Primary Series,2022,Positive,38
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,0.5+,Unvaccinated,2021,Negative,266
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,0.5+,Unvaccinated,2021,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,0.5+,Unvaccinated,2022,Negative,97
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Insured,0.5+,Unvaccinated,2022,Positive,16
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Uninsured,<0.5,Full Primary Series,2021,Negative,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Uninsured,<0.5,Full Primary Series,2022,Negative,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Uninsured,<0.5,Unvaccinated,2021,Negative,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Uninsured,0.5+,Full Primary Series,2021,Negative,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Uninsured,0.5+,Full Primary Series,2021,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Uninsured,0.5+,Full Primary Series,2022,Negative,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Uninsured,0.5+,Unvaccinated,2021,Negative,7
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Uninsured,0.5+,Unvaccinated,2021,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Uninsured,0.5+,Unvaccinated,2022,Negative,<5
FEMALE,<40 years,Non-Hispanic White,Score: 1+,1+ visits,Uninsured,0.5+,Unvaccinated,2022,Positive,<5
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,<0.5,1 Dose mRNA,2021,Negative,107
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,<0.5,1 Dose mRNA,2021,Positive,<5
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,<0.5,1 Dose mRNA,2022,Negative,35
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,<0.5,1 Dose mRNA,2022,Positive,8
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,<0.5,Booster Dose,2021,Negative,36
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,<0.5,Booster Dose,2021,Positive,<5
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,<0.5,Booster Dose,2022,Negative,27
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,<0.5,Booster Dose,2022,Positive,<5
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,<0.5,Full Primary Series,2021,Negative,494
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,<0.5,Full Primary Series,2021,Positive,28
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,<0.5,Full Primary Series,2022,Negative,155
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,<0.5,Full Primary Series,2022,Positive,32
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,<0.5,Unvaccinated,2021,Negative,2280
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,<0.5,Unvaccinated,2021,Positive,86
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,<0.5,Unvaccinated,2022,Negative,497
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,<0.5,Unvaccinated,2022,Positive,183
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,0.5+,1 Dose mRNA,2021,Negative,161
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,0.5+,1 Dose mRNA,2021,Positive,7
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,0.5+,1 Dose mRNA,2022,Negative,46
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,0.5+,1 Dose mRNA,2022,Positive,16
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,0.5+,Booster Dose,2021,Negative,52
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,0.5+,Booster Dose,2021,Positive,<5
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,0.5+,Booster Dose,2022,Negative,66
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,0.5+,Booster Dose,2022,Positive,9
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,0.5+,Full Primary Series,2021,Negative,562
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,0.5+,Full Primary Series,2021,Positive,46
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,0.5+,Full Primary Series,2022,Negative,251
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,0.5+,Full Primary Series,2022,Positive,71
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,0.5+,Unvaccinated,2021,Negative,1900
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,0.5+,Unvaccinated,2021,Positive,100
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,0.5+,Unvaccinated,2022,Negative,583
FEMALE,<40 years,Other,Score: 0,0 visits,Insured,0.5+,Unvaccinated,2022,Positive,179
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,<0.5,1 Dose mRNA,2021,Negative,7
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,<0.5,1 Dose mRNA,2021,Positive,<5
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,<0.5,1 Dose mRNA,2022,Negative,8
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,<0.5,Booster Dose,2021,Negative,<5
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,<0.5,Booster Dose,2022,Negative,<5
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,<0.5,Full Primary Series,2021,Negative,52
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,<0.5,Full Primary Series,2021,Positive,<5
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,<0.5,Full Primary Series,2022,Negative,17
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,<0.5,Full Primary Series,2022,Positive,7
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,<0.5,Unvaccinated,2021,Negative,552
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,<0.5,Unvaccinated,2021,Positive,46
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,<0.5,Unvaccinated,2022,Negative,139
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,<0.5,Unvaccinated,2022,Positive,35
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,0.5+,1 Dose mRNA,2021,Negative,19
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,0.5+,1 Dose mRNA,2021,Positive,<5
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,0.5+,1 Dose mRNA,2022,Negative,8
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,0.5+,1 Dose mRNA,2022,Positive,<5
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,0.5+,Booster Dose,2021,Negative,7
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,0.5+,Booster Dose,2022,Negative,8
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,0.5+,Full Primary Series,2021,Negative,49
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,0.5+,Full Primary Series,2021,Positive,<5
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,0.5+,Full Primary Series,2022,Negative,31
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,0.5+,Full Primary Series,2022,Positive,15
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,0.5+,Unvaccinated,2021,Negative,478
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,0.5+,Unvaccinated,2021,Positive,34
FEMALE,<40 years,Other,Score: 0,0 visits,Uninsured,0.5+,Unvaccinated,2022,Negative,174
